# entities
# W3C table at http://www.whatwg.org/specs/web-apps/current-work/multipage/named-character-references.html#named-character-references
# l=lower case Latin L=upper case Latin (alpha accents) g=lower case Greek G=upper case Greek c Cyrillic lower case C Cyrillic Upper case.
# a=arrow b=blank d=diacritical mark m=music s=symbol 4=html4 5=html5 p=proposed n=not an entity X=XHTML o=ordinary char, does not need entity.
# $=currency
# desc has no entities whereas notesdoes.
# normally sorted by entity, hex, desc, categories
## categories, hex, overstrike, alpha entity,              description,                                                                 notes
o4,    0x20,    ,       ,                                  "ordinary space",                                                            "&rarr; &larr;"
5,     0x2145,  ,       &CapitalDifferentialD;,            "double-struck italic capital d"
5,     0x212d,  ,       &Cayleys;,                         "black-letter capital c"
5,     0x10c,   ,       &Ccaron;,                          "Latin capital letter C with caron"
4XL,   0xc7,    ,       &Ccedil;,                          "Latin capital letter C with cedilla"
5,     0x108,   ,       &Ccirc;,                           "Latin capital letter C with circumflex"
5,     0x2230,  ,       &Cconint;,                         "volume integral, triple integral with circle"
5,     0x10a,   ,       &Cdot;,                            "Latin capital letter C with a dot"
5d,    0xb8,    ,       &Cedilla;,                         "cedilla / c&eacute;dille",                                                  "normally use html4 <span class=""entity"">&amp;cedil;</span>"
5,     0xb7,    ,       &CenterDot;,                       "middle dot",                                                                "normally use html4 <span class=""entity"">&amp;middot;</span>"
5,     0x212d,  ,       &Cfr;,                             "Fraktur C"
4XG,   0x3a7,   ,       &Chi;,                             "Greek capital letter Chi"
5,     0x2299,  ,       &CircleDot;,                       "circled dot operator"
5,     0x2296,  ,       &CircleMinus;,                     "circled minus"
5,     0x2295,  ,       &CirclePlus;,                      "circled plus",                                                              "direct sum"
5,     0x2297,  ,       &CircleTimes;,                     "vector product",                                                            "vector product"
5,     0x2232,  ,       &ClockwiseContourIntegral;,        "clockwise contour integral"
5,     0x201d,  ,       &CloseCurlyDoubleQuote;,           "right double-99 quotation mark"
5,     0x2019,  ,       &CloseCurlyQuote;,                 "right single-9 quotation mark"
